Test Size,Name Method,Name Function,M,C,theta,SP,SE,Gmean,F1 Score,Precision,Accuracy,AUC,Ma tran nham lan
0.2,distance_center_own_opposite_tam,func_own_opp_new_v1,25,10,1.2,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,distance_center_own_opposite_tam,func_own_opp_new_v2,25,10,1.2,0.6086956521739131,0.375,0.4777665429529546,0.3,0.25,0.5483870967741935,0.49184782608695654,"[[28 18]
 [10  6]]"
0.2,WSVM,WSVM,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ADA_WSVM,ADA_WSVM,25,10,1.5,0.8695652173913043,0.0625,0.23312620206007845,0.08695652173913043,0.14285714285714285,0.6612903225806451,0.46603260869565216,"[[40  6]
 [15  1]]"
0.2,ImADA_1_DecisionTree,ImADA_1_DecisionTree,25,10,1.5,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]"
0.2,ImADA_2_DecisionTree,ImADA_2_DecisionTree,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_12_DecisionTree,ImADA_12_DecisionTree,25,10,1.5,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]"
0.2,ImADA1_SVM,ImADA1_SVM,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA2_SVM,ImADA2_SVM,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_12_SVM,ImADA_12_SVM,25,10,1.5,0.15217391304347827,0.875,0.36490022459988086,0.4057971014492754,0.2641509433962264,0.3387096774193548,0.5135869565217391,"[[ 7 39]
 [ 2 14]]"
0.2,ImADA1_WSVM,ImADA1_WSVM,25,10,1.5,0.0,1.0,0.0,0.41025641025641024,0.25806451612903225,0.25806451612903225,0.5,"[[ 0 46]
 [ 0 16]]"
0.2,ImADA2_WSVM,ImADA2_WSVM,25,10,1.5,0.782608695652174,0.1875,0.3830654388414369,0.20689655172413793,0.23076923076923078,0.6290322580645161,0.485054347826087,"[[36 10]
 [13  3]]"
0.2,ImADA_12_WSVM,ImADA_12_WSVM,25,10,1.5,0.0,1.0,0.0,0.41025641025641024,0.25806451612903225,0.25806451612903225,0.5,"[[ 0 46]
 [ 0 16]]"
0.2,own_class_center,lin_center_own,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,own_class_center,exp,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,estimated_hyper_lin,lin_center_own,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,estimated_hyper_lin,exp,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,actual_hyper_lin,lin_center_own,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,actual_hyper_lin,exp,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,distance_center_own_opposite_tam,func_own_opp_new,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,distance_center_own_opposite_tam,func_own_opp_new_v1,25,10,1.5,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,distance_center_own_opposite_tam,func_own_opp_new_v2,25,10,1.5,0.6086956521739131,0.375,0.4777665429529546,0.3,0.25,0.5483870967741935,0.49184782608695654,"[[28 18]
 [10  6]]"
0.2,WSVM,WSVM,25,100,0.3,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ADA_WSVM,ADA_WSVM,25,100,0.3,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_1_DecisionTree,ImADA_1_DecisionTree,25,100,0.3,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]"
0.2,ImADA_2_DecisionTree,ImADA_2_DecisionTree,25,100,0.3,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_12_DecisionTree,ImADA_12_DecisionTree,25,100,0.3,0.8260869565217391,0.0625,0.22722331478659644,0.08,0.1111111111111111,0.6290322580645161,0.44429347826086957,"[[38  8]
 [15  1]]"
0.2,ImADA1_SVM,ImADA1_SVM,25,100,0.3,0.15217391304347827,0.875,0.36490022459988086,0.4057971014492754,0.2641509433962264,0.3387096774193548,0.5135869565217391,"[[ 7 39]
 [ 2 14]]"
0.2,ImADA2_SVM,ImADA2_SVM,25,100,0.3,0.8478260869565217,0.125,0.32554302460591167,0.16,0.2222222222222222,0.6612903225806451,0.48641304347826086,"[[39  7]
 [14  2]]"
0.2,ImADA_12_SVM,ImADA_12_SVM,25,100,0.3,0.15217391304347827,0.875,0.36490022459988086,0.4057971014492754,0.2641509433962264,0.3387096774193548,0.5135869565217391,"[[ 7 39]
 [ 2 14]]"
0.2,ImADA1_WSVM,ImADA1_WSVM,25,100,0.3,0.0,1.0,0.0,0.41025641025641024,0.25806451612903225,0.25806451612903225,0.5,"[[ 0 46]
 [ 0 16]]"
0.2,ImADA2_WSVM,ImADA2_WSVM,25,100,0.3,0.8260869565217391,0.125,0.32134229345857573,0.15384615384615385,0.2,0.6451612903225806,0.47554347826086957,"[[38  8]
 [14  2]]"
